data;fechamento;abertura;maxima;minima;volume;variacao_pct
2016-03-01;44122;42795;44181;42795;4750000,0;3,1
2016-03-02;44893;44122;44983;43841;5160000,0;1,75
2016-03-03;47193;44900;47375;44900;9310000,0;5,12
2016-03-04;49085;47194;50024;47194;10600000,0;4,01
2016-03-07;49246;49089;49639;48746;5900000,0;0,33
2016-03-08;49102;49244;49914;48847;7370000,0;-0,29
2016-03-09;48665;49102;50001;48623;6420000,0;-0,89
2016-03-10;49571;48667;49974;47922;7700000,0;1,86
2016-03-11;49639;49574;50038;49156;6190000,0;0,14
2016-03-14;48867;49639;50166;48757;4950000,0;-1,56
2016-03-15;47130;48866;48866;46684;5670000,0;-3,55
2016-03-16;47763;47130;47814;46521;5270000,0;1,34
2016-03-17;50914;47770;51268;47770;7470000,0;6,6
2016-03-18;50815;50915;51308;50202;5620000,0;-0,19
2016-03-21;51172;50816;51370;50765;3820000,0;0,7
2016-03-22;51010;51170;51215;50812;4019999,9999999995;-0,32
2016-03-23;49690;51005;51005;49491;3750000,0;-2,59
2016-03-24;49657;49686;49686;48778;3800000,0;-0,07
2016-03-28;50838;49687;51149;49687;3620000,0;2,38
2016-03-29;51155;50839;51765;50387;4450000,0;0,62
2016-03-30;51249;51155;52262;50900;4880000,0;0,18
2016-03-31;50055;51248;51248;49642;4380000,0;-2,33
2016-04-01;50562;50054;50768;49361;4010000,0;1,01
2016-04-04;48780;50556;50556;48600;3670000,0;-3,52
2016-04-05;49054;48778;49629;48149;3660000,0;0,56
2016-04-06;48096;49054;49054;47874;3930000,0;-1,95
2016-04-07;48513;48099;48940;48099;3150000,0;0,87
2016-04-08;50293;48517;50486;48517;5200000,0;3,67
2016-04-11;50165;50303;51089;50078;4179999,9999999995;-0,25
2016-04-12;52002;50166;52327;50166;5310000,0;3,66
2016-04-13;53150;52010;53844;52010;6570000,0;2,21
2016-04-14;52411;53150;53699;52242;5660000,0;-1,39
2016-04-15;53228;52414;53390;52414;5200000,0;1,56
2016-04-18;52894;53229;53479;52305;4530000,0;-0,63
2016-04-19;53710;52894;54054;52894;5190000,0;1,54
2016-04-20;53631;53711;53857;53149;4690000,0;-0,15
2016-04-22;52908;53630;53630;52629;4390000,0;-1,35
2016-04-25;51862;52911;52949;51748;3810000,0;-1,98
2016-04-26;53083;51867;53108;51838;3870000,0;2,35
